Country,Year,GNI per capita growth (annual %),"Inflation, consumer prices (annual %)",Imports of goods and services (% of GDP),Exports of goods and services (% of GDP),"Foreign direct investment, net inflows (% of GDP)",Proportion of seats held by women in national parliaments (%),Gini index,Public private partnerships investment in energy (current US$)
China,1960,,,4.428270186,4.305829535,,,,
China,1961,,,3.489410046,3.870810679,,,,
China,1962,,,2.908277405,4.052658751,,,,
China,1963,,,2.85988945,4.005447408,,,,
China,1964,,,2.864140418,3.768963875,,,,
China,1965,,,3.189158016,3.638985006,,,,
China,1966,,,3.235029385,3.494467094,,,,
China,1967,,,2.976256828,3.277226619,,,,
China,1968,,,2.918410642,3.302562926,,,,
China,1969,,,2.405463256,3.047599633,,,,
China,1970,,,2.460850112,2.491555906,,,,
China,1971,,,2.132768936,2.788066262,,,,
China,1972,,,2.507443974,3.247923523,,,,
China,1973,,,3.758798346,4.241346782,,,,
China,1974,,,5.403684974,4.929801606,,,,
China,1975,,,4.849481823,4.704721171,,,,
China,1976,,,4.326440474,4.510473131,,,,
China,1977,,,4.086153846,4.298461538,,,,
China,1978,,,5.094187394,4.555954147,,,,
China,1979,,,5.923734773,5.162843357,4.49E-05,,,
China,1980,,,6.513236386,5.911612142,0.029819636,,,
China,1981,,,7.44960399,7.44757799,0.135296316,,,
China,1982,,,6.264997687,7.959789534,0.209664357,,,
China,1983,,,6.361074373,7.204719737,0.275698543,,,
China,1984,,,7.876332983,7.893545315,0.483945715,,,62000000
China,1985,,,12.3621618,8.327444092,0.536046583,,,
China,1986,,,11.17836701,8.71924864,0.623424606,,,4000000000
China,1987,,7.233835531,10.32801845,10.41698495,0.847702965,,,
China,1988,,18.81181794,12.01062681,11.01490459,1.022558946,,,
China,1989,,18.24563836,10.10736203,9.027345053,0.97565029,,,542600000
China,1990,,3.052290121,9.747870711,12.45160262,0.966308311,,32.2,
China,1991,,3.556685652,10.62996355,13.43637117,1.138837732,,,
China,1992,,6.35398134,12.54203293,13.55554446,2.613162193,,,1881000000
China,1993,,14.61007864,13.9025469,11.99788329,6.186882076,,33.9,1529700000
China,1994,,24.25698972,17.23306642,18.53674857,5.987185933,,,272000000
China,1995,,16.79122517,16.32444624,17.95252283,4.880863005,,,914470000
China,1996,8.885232916,8.313160289,15.89144992,17.92329555,4.651812663,,35.2,2512900000
China,1997,8.383184341,2.786465055,15.0398529,19.49316446,4.725343653,,,5080700000
China,1998,6.383996334,-0.773186012,14.08220459,18.34210003,4.435501203,21.81940248,,2982800000
China,1999,6.977923935,-1.401472683,15.361685,18.16247676,3.748958593,21.81940248,38.7,3965000000
China,2000,7.723497494,0.347811227,18.51731765,20.8936972,3.475125973,21.78284182,,43300000
China,2001,7.315187453,0.719125609,18.21521353,20.31214574,3.51298868,21.78284182,,508930000
China,2002,8.782183022,-0.731970902,20.10265796,22.64474567,3.609081353,21.78284182,42,1329770000
China,2003,9.734442151,1.127603487,24.82323147,26.98075653,3.487418759,20.23450586,,2810590000
China,2004,9.802247316,3.824637431,28.44418664,31.06133758,3.483641464,20.23450586,,788690000
China,2005,10.27350184,1.776414077,28.3780353,33.82985757,4.554263297,20.26845638,40.9,1678120000
China,2006,12.63791724,1.649430995,28.44385835,36.03502555,4.508600691,20.26845638,,1197580000
China,2007,14.09043299,4.816767674,26.75856495,35.43479853,4.400983631,20.62099224,,1529040000
China,2008,9.510284289,5.92525137,25.01000133,32.60271402,3.733610711,21.32574489,43,678770000
China,2009,8.021171439,-0.728165251,20.43501444,24.74985594,2.568894327,21.32574489,,722000000
China,2010,9.810625426,3.175324753,23.53174494,27.18533272,4.003544586,21.32574489,43.7,421470000
China,2011,8.404532298,5.553898923,24.17271524,26.56818935,3.708806704,21.32303559,42.4,2671140000
China,2012,7.892665466,2.619524326,22.77500014,25.49252222,2.827105258,21.32303559,42.2,3174900000
China,2013,6.43296811,2.621050017,22.14512114,24.59925444,3.039855032,23.40140609,39.7,3682930000
China,2014,7.754741476,1.921641628,21.39515505,23.51006091,2.55924765,23.40140609,39.2,1647500000
China,2015,5.779628467,1.437023809,18.11008945,21.35407988,2.192177616,23.62284556,38.6,3186650000
China,2016,6.215660852,2.000001822,17.31003496,19.58438005,1.555636959,23.62284556,38.5,3386891000
China,2017,6.694098104,1.593136001,17.94013625,19.69227699,1.349123714,24.24760602,39.1,2950270000
China,2018,5.925357668,2.0747904,18.45368057,19.11210354,1.69389433,24.89932886,38.5,265510000
China,2019,5.746569636,2.899234164,17.48010372,18.40999232,1.310715934,24.94117647,38.2,9710000
China,2020,1.469906015,2.419421895,16.16815654,18.58613924,1.72317562,24.94117647,37.1,838180000
China,2021,8.23443816,0.981015136,17.35801671,19.94397346,1.930786241,24.94117647,,264410000
China,2022,,1.973575557,17.46681693,20.67700251,1.002979297,24.94117647,,327400000
Kenya,1960,,1.243781095,33.67010454,31.09574652,,,,
Kenya,1961,,2.457002457,31.12995175,32.71716968,,,,
Kenya,1962,,3.117505995,30.12515389,32.03780926,,,,
Kenya,1963,,0.697674419,28.96276466,32.03294766,,,,
Kenya,1964,,-0.099304867,29.21223094,33.38941315,,,,
Kenya,1965,-1.592405699,3.578528828,30.69585598,31.39731521,,,,
Kenya,1966,9.841928967,5.014395393,30.87280225,32.41163352,,,,
Kenya,1967,-0.851530495,1.759195796,29.37301227,28.46433439,,,,
Kenya,1968,4.122277212,0.36671157,29.29735993,29.40081106,,,,
Kenya,1969,5.068705796,-0.171501007,28.08870116,29.52865508,,,,
Kenya,1970,-7.94750515,2.188527039,30.66391925,29.82572556,0.860645654,,,
Kenya,1971,17.87090355,3.780206125,35.18910791,28.6393551,0.416106402,,,
Kenya,1972,12.84110773,5.831644743,28.72707946,26.58782886,0.298963708,,,
Kenya,1973,-0.127365751,9.281194223,28.669014,27.39383468,0.68792308,,,
Kenya,1974,1.274034642,17.80994803,40.89752051,33.67588385,0.788563124,,,
Kenya,1975,-1.78511137,19.12018401,34.51158185,29.82368597,0.526447731,,,
Kenya,1976,-2.367580725,11.44903049,31.75563773,32.45047124,1.334617501,,,
Kenya,1977,6.239245121,14.82096448,31.5930964,34.95886876,1.258132158,,,
Kenya,1978,3.450355859,16.93178246,38.68802232,28.93551834,0.648865948,,,
Kenya,1979,3.910981318,7.979352618,31.61102051,25.75315424,1.347523818,,,
Kenya,1980,2.620770318,13.85818146,35.89983172,29.51696422,1.086996806,,,
Kenya,1981,0.143904294,11.60305344,33.82030444,30.45988132,0.206398349,,,
Kenya,1982,-2.719220129,20.66671467,31.55827115,26.657466,0.202141562,,,
Kenya,1983,-1.741983137,11.39778274,28.21277299,25.94993241,0.397023829,,,
Kenya,1984,-2.115316177,10.28409821,32.05400493,26.74989265,0.173683868,,,
Kenya,1985,0.598544702,13.00656642,30.14650159,25.29893296,0.470183987,,,
Kenya,1986,3.362464001,2.534275989,29.89303032,25.84835527,0.45206802,,,
Kenya,1987,2.164830015,8.63767319,26.39754666,21.30522135,0.494068886,,,
Kenya,1988,2.235844442,12.26496305,27.60376853,22.37121356,0.004720678,,,
Kenya,1989,2.051796646,13.78931728,30.1233478,23.03302943,0.750803531,,,
Kenya,1990,-0.419201829,17.78181443,31.32830772,25.69260596,0.665873829,,,
Kenya,1991,-2.186613325,20.08449558,28.5560669,27.04163232,0.231012728,,,
Kenya,1992,-3.595869674,27.33236445,26.67049591,26.26037419,0.077512969,,57.5,
Kenya,1993,-4.555319341,45.9788813,33.95485119,38.90363017,2.532352589,,,
Kenya,1994,0.654543067,28.81438943,34.22584439,37.04028084,0.103976751,,43.1,
Kenya,1995,3.092764473,1.554328161,39.15404042,32.59170122,0.467474592,,,
Kenya,1996,2.989481772,8.864087416,32.11150875,25.20060195,0.902159599,,,99000000
Kenya,1997,-1.685727842,11.36184505,31.37072951,22.68638735,0.473451701,2.97029703,45,
Kenya,1998,0.916444106,6.722436508,28.72798111,20.16926083,0.188365603,3.603603604,,
Kenya,1999,-0.909798698,5.742001095,27.35953979,20.8327352,0.402864559,3.571428571,,139000000
